OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1978-026GJ","DELTA 1 DEB","14909","US","103.12","98.78","1019","794","SMALL","0","1978-03-05",""
"1978-026GH","DELTA 1 DEB","14908","US","102.12","99.17","931","786","SMALL","0","1978-03-05",""
"1977-121BL","COSMOS 970 DEB","14907","CIS","106.33","66.03","1116","997","SMALL","0","1977-12-21",""
"1977-121BK","COSMOS 970 DEB","14906","CIS","104.98","65.95","1085","902","SMALL","0","1977-12-21",""
"1976-077ET","DELTA 1 DEB","14905","US","119.28","102.36","1797","1500","SMALL","0","1976-07-29",""
"1976-077ES","DELTA 1 DEB","14904","US","113.24","102.72","1379","1371","SMALL","0","1976-07-29",""
"1984-035B","CZ-3 R/B","14900","PRC","615.00","31.15","34730","425","LARGE","0","1984-04-08",""
"1984-035A","STTW-T2","14899","PRC","1436.94","11.41","35850","35756","LARGE","0","1984-04-08",""
"1984-033D","SL-6 R/B(2)","14894","CIS","706.49","72.76","34865","4931","LARGE","0","1984-04-04",""
"1984-033A","COSMOS 1547","14884","CIS","718.82","72.58","35537","4869","LARGE","0","1984-04-04",""
"1973-086GS","DELTA 1 DEB","14883","US","120.02","102.07","1875","1488","SMALL","0","1973-11-06",""
"1974-089EU","THORAD DELTA 1 DEB","14881","US","115.93","101.62","1550","1446","SMALL","0","1974-11-15",""
"1974-089ET","THORAD DELTA 1 DEB","14880","US","117.04","101.14","1669","1426","SMALL","0","1974-11-15",""
"1974-089ES","THORAD DELTA 1 DEB","14879","US","118.48","101.22","1783","1442","SMALL","0","1974-11-15",""
"1984-031A","COSMOS 1546","14867","CIS","1435.90","10.87","35872","35694","MEDIUM","0","1984-03-29",""
"1979-060C","SL-8 DEB *","14866","CIS","96.35","74.04","585","582","SMALL","0","1979-06-28",""
"1975-094E","SL-8 DEB *","14865","CIS","98.07","74.03","668","665","SMALL","0","1975-09-30",""
"1977-065FS","DELTA 1 DEB","14839","US","120.96","28.99","2536","912","SMALL","0","1977-07-14",""
"1984-028A","EKRAN 12","14821","CIS","1499.02","12.55","37056","36963","LARGE","0","1984-03-16",""
"1984-027B","SL-14 R/B","14820","CIS","97.02","82.54","629","603","LARGE","0","1984-03-15",""
"1984-027A","COSMOS 1544","14819","CIS","93.40","82.48","448","433","LARGE","0","1984-03-15",""
"1977-059D","SL-8 DEB *","14818","CIS","97.14","74.06","628","616","SMALL","0","1977-07-01",""
"1976-098D","SL-8 DEB *","14817","CIS","96.08","74.08","578","564","SMALL","0","1976-09-29",""
"1976-098C","SL-8 DEB *","14816","CIS","98.84","74.04","714","693","SMALL","0","1976-09-29",""
"1983-079C","SL-8 DEB *","14813","CIS","99.73","74.03","757","734","SMALL","0","1983-08-03",""
"1983-031C","SL-8 DEB","14812","CIS","99.67","74.06","754","732","SMALL","0","1983-04-12",""
"1982-037D","SL-8 DEB","14811","CIS","99.66","74.03","755","730","SMALL","0","1982-04-28",""
"1981-084D","SL-8 DEB *","14810","CIS","99.43","73.95","743","719","SMALL","0","1981-08-28",""
"1980-056D","SL-8 DEB *","14809","CIS","99.35","74.04","736","719","SMALL","0","1980-07-01",""
"1980-056C","SL-8 DEB *","14808","CIS","99.68","74.04","753","733","SMALL","0","1980-07-01",""
"1979-089D","SL-8 DEB *","14807","CIS","95.41","74.06","544","533","SMALL","0","1979-10-11",""
"1979-078D","SL-8 DEB *","14806","CIS","99.07","74.03","718","710","SMALL","0","1979-08-28",""
"1979-078C","SL-8 DEB","14805","CIS","96.51","74.06","593","589","SMALL","0","1979-08-28",""
"1978-019D","SL-8 DEB *","14803","CIS","94.62","74.01","505","496","SMALL","0","1978-02-17",""
"1977-059C","SL-8 DEB *","14802","CIS","98.27","74.05","683","668","SMALL","0","1977-07-01",""
"1975-112D","SL-8 DEB *","14801","CIS","98.78","74.06","707","695","SMALL","0","1975-11-28",""
"1976-126BS","COSMOS 886 DEB","14800","CIS","125.23","65.75","2412","1415","MEDIUM","0","1976-12-27",""
"1976-126BR","COSMOS 886 DEB","14799","CIS","123.16","65.81","2540","1104","SMALL","0","1976-12-27",""
"1984-024D","SL-6 R/B(2)","14796","CIS","709.80","71.02","34488","5472","LARGE","0","1984-03-06",""
"1984-012F","JD 3","14795","US","105.52","63.30","1670","368","LARGE","0","1984-02-05",""
"1984-024A","COSMOS 1541","14790","CIS","717.91","71.80","34169","6192","LARGE","0","1984-03-06",""
"1984-023A","INTELSAT 508","14786","ITSO","1480.06","14.70","36708","36578","LARGE","0","1984-03-05",""
"1984-022A","COSMOS 1540","14783","CIS","1436.27","11.71","35819","35761","MEDIUM","0","1984-03-02",""
"1984-021B","OSCAR 11 (UoSAT 2)","14781","UK","96.99","97.66","620","609","MEDIUM","0","1984-03-01",""
"1984-021A","LANDSAT 5","14780","US","96.34","98.17","642","525","LARGE","0","1984-03-01",""
"1984-019B","SL-8 R/B","14760","CIS","100.27","74.04","791","751","LARGE","0","1984-02-21",""
"1984-019A","COSMOS 1538","14759","CIS","100.43","74.04","795","763","LARGE","0","1984-02-21",""
"1965-108Y","TITAN 3C TRANSTAGE DEB","14756","US","160.06","26.58","6610","164","MEDIUM","0","1965-12-21",""
