OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2021-027BA","STARLINK-2483","48140","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AZ","STARLINK-2482","48139","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AY","STARLINK-2481","48138","US","95.59","53.05","549","546","LARGE","0","2021-04-07",""
"2021-027AX","STARLINK-2480","48137","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AW","STARLINK-2479","48136","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AV","STARLINK-2478","48135","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AU","STARLINK-2476","48134","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AT","STARLINK-2475","48133","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AS","STARLINK-2474","48132","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AR","STARLINK-2473","48131","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AQ","STARLINK-2472","48130","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AP","STARLINK-2471","48129","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AN","STARLINK-2469","48128","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AM","STARLINK-2468","48127","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AL","STARLINK-2467","48126","US","95.59","53.06","548","546","LARGE","0","2021-04-07",""
"2021-027AK","STARLINK-2466","48125","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AJ","STARLINK-2465","48124","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AH","STARLINK-2464","48123","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AG","STARLINK-2463","48122","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AF","STARLINK-2462","48121","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AE","STARLINK-2460","48120","US","95.59","53.05","549","546","LARGE","0","2021-04-07",""
"2021-027AD","STARLINK-2459","48119","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AC","STARLINK-2458","48118","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027AB","STARLINK-2455","48117","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
